,0
1956,29
1957,28
1958,31
1959,29
1960,30
1961,29
1962,33
1963,32
1964,32
1965,34
1966,35
1967,35
1968,34
1969,36
1970,35
1971,36
1972,32
1973,38
1974,37
1975,37
1976,36
1977,38
1978,35
1979,37
1980,37
1981,37
1982,34
1983,35
1984,38
1985,36
1986,33
1987,36
1988,34
1989,39
1990,40
1991,37
1992,35
1993,33
1994,35
1995,32
1996,27
1997,29
1998,28
1999,29
2000,33
2001,30
2002,29
2003,30
2004,28
2005,31
2006,30
2007,30
2008,30
2009,35
2010,29
2011,27
2012,25
2013,25
2014,24
2015,29
2016,28
2017,31
2018,35
2019,35
2020,27
2021,34
2022,29
2023,31
2024,27
2025,24
2026,29
2027,27
2028,26
2029,26
2030,22
2031,21
2032,24
2033,23
2034,19
2035,22
2036,27
2037,23
2038,24
2039,25
2040,23
2041,22
2042,24
2043,21
2044,23
2045,23
2046,22
2047,22
2048,22
2049,24
2050,22
2051,23
2052,26
2053,25
2054,27
2055,26
2056,27
2057,28
2058,27
2059,32
2060,30
2061,30
2062,28
2063,28
2064,27
2065,24
2066,26
2067,29
2068,25
2069,28
2070,27
2071,26
2072,25
2073,29
2074,28
2075,23
2076,20
2077,23
2078,23
2079,24
2080,24
2081,27
2082,23
2083,23
2084,25
2085,26
2086,26
2087,24
2088,25
2089,26
2090,26
2091,28
2092,25
2093,24
2094,28
2095,26
2096,26
2097,25
2098,27
2099,30
2100,27
2101,31
2102,29
2103,31
2104,27
2105,27
2106,29
2107,29
2108,26
2109,25
2110,31
2111,29
2112,28
2113,31
2114,30
2115,32
2116,33
2117,30
2118,34
2119,34
2120,33
2121,30
2122,32
2123,33
2124,35
2125,35
2126,33
2127,34
2128,32
2129,32
2130,31
2131,32
2132,30
2133,28
2134,31
2135,32
2136,29
2137,32
2138,35
2139,30
2140,35
2141,31
2142,31
2143,35
2144,38
2145,40
2146,35
2147,35
2148,40
2149,34
2150,34
2151,33
2152,29
2153,31
2154,32
2155,33
2156,33
2157,37
2158,32
2159,33
2160,33
2161,38
2162,36
2163,37
